Name,Admission_Number,Department
Tanvi Kulkarni 34,2023PE8564,MECH
Ishaan Joshi 82,2024PE1205,MECH
Diya Kulkarni 58,2024PE9288,MECH
Aditya Sharma 78,2024PE2224,MECH
Ishaan Mehta 26,2023PE1227,MECH
Tanvi Joshi 85,2022PE5551,MECH
Isha Deshmukh 14,2023PE8998,MECH
Aditya Deshmukh 4,2024PE7575,MECH
Aarav Sharma 81,2023PE3004,MECH
Aarav Kulkarni 54,2022PE7814,MECH
Ananya Sharma 15,2023PE4062,MECH
Vihaan Mehta 75,2022PE6418,MECH
Tanvi Deshmukh 41,2022PE2358,MECH
Rohan Gupta 43,2024PE9460,MECH
Aditya Sharma 68,2023PE2128,MECH
Sanya Nair 49,2023PE5362,MECH
Aarav Kulkarni 93,2023PE4999,MECH
Arjun Deshmukh 66,2022PE7555,MECH
Ishaan Deshmukh 21,2024PE7519,MECH
Sanya Mehta 67,2024PE1296,MECH
Aarav Sharma 83,2023PE1183,MECH
Aditya Nair 73,2024PE8203,MECH
Rohan Verma 15,2022PE7221,MECH
Isha Joshi 42,2022PE9995,MECH
Tanvi Patil 2,2023PE8861,MECH
Diya Mehta 41,2023PE1482,MECH
Aditya Gupta 34,2023PE6062,MECH
Diya Joshi 81,2023PE2116,MECH
Diya Verma 88,2022PE2283,MECH
Ishaan Sharma 96,2023PE8796,MECH
Sanya Joshi 65,2024PE3813,AUTO
Arjun Deshmukh 24,2024PE5995,AUTO
Aditya Iyer 92,2024PE5394,AUTO
Rohan Deshmukh 67,2023PE4515,AUTO
Vihaan Iyer 11,2022PE5309,AUTO
Diya Kulkarni 52,2022PE5213,AUTO
Aditya Mehta 47,2022PE7511,AUTO
Diya Gupta 81,2024PE8935,AUTO
Ananya Nair 68,2022PE4864,AUTO
Sanya Mehta 17,2022PE7829,AUTO
Vihaan Joshi 38,2024PE1105,AUTO
Kiara Kulkarni 28,2023PE8187,AUTO
Rohan Sharma 53,2023PE4324,AUTO
Isha Mehta 32,2022PE3243,AUTO
Diya Kulkarni 93,2023PE6595,AUTO
Aditya Deshmukh 82,2023PE4908,AUTO
Ananya Joshi 77,2024PE5032,AUTO
Rohan Joshi 44,2022PE8171,AUTO
Ishaan Deshmukh 3,2023PE3008,AUTO
Arjun Patil 36,2022PE3425,AUTO
Arjun Deshmukh 93,2024PE5724,AUTO
Kiara Deshmukh 61,2023PE4535,AUTO
Diya Patil 24,2022PE9083,AUTO
Sanya Mehta 3,2024PE8646,AUTO
Kiara Sharma 4,2023PE7222,AUTO
Isha Verma 47,2022PE9213,AUTO
Aditya Patil 40,2024PE4021,AUTO
Ishaan Verma 8,2023PE1338,AUTO
Vihaan Deshmukh 76,2024PE4244,AUTO
Ishaan Verma 82,2022PE5185,AUTO
Rohan Iyer 11,2023PE4126,AUTO
Rohan Sharma 32,2023PE4496,AUTO
Vihaan Deshmukh 20,2024PE9335,AUTO
Diya Mehta 55,2023PE7770,AUTO
Isha Patil 3,2022PE5166,AUTO
Tanvi Joshi 99,2023PE9633,AUTO
Ananya Sharma 76,2022PE3998,AUTO
Isha Gupta 32,2022PE8342,AUTO
Tanvi Iyer 90,2024PE3324,AUTO
Kiara Mehta 98,2022PE5690,AUTO
Vihaan Nair 34,2024PE8116,AUTO
Ishaan Gupta 8,2024PE2131,AUTO
Arjun Iyer 16,2022PE8576,AUTO
Ananya Joshi 85,2022PE5260,AUTO
Rohan Mehta 56,2024PE1090,AUTO
Rohan Iyer 96,2023PE4856,AUTO
Tanvi Verma 54,2024PE6896,AUTO
Diya Mehta 14,2024PE7183,AUTO
Ananya Kulkarni 58,2022PE6909,AUTO
Kiara Nair 32,2024PE6653,AUTO
