Name,Admission_Number,Department
Rohan Sharma,2026PE1075,Information Technology
Advait Gupta,2025PE1076,Information Technology
Ishani Menon,2023PE1077,Information Technology
John Gupta,2026PE1078,Information Technology
Zara Singh,2024PE1079,Information Technology
Rohan Reddy,2024PE1080,Information Technology
Vihaan Khan,2026PE1081,Information Technology
Sai Gadhavi,2025PE1082,Information Technology
Priya Reddy,2025PE1083,Information Technology
Aavya Mehta,2025PE1084,Information Technology
Advait Deshmukh,2026PE1085,Information Technology
Diya Sharma,2026PE1086,Information Technology
Arjun Gadhavi,2025PE1087,Information Technology
Sarah Reddy,2025PE1088,Information Technology
Saira Khan,2025PE1089,Information Technology
Sahil Verma,2026PE1090,Information Technology
Myra Choudhury,2023PE1091,Information Technology
Isha Das,2023PE1092,Information Technology
Myra Khan,2026PE1093,Information Technology
Arjun Singh,2023PE1094,Information Technology
John Khan,2026PE1095,Information Technology
Arjun Mehta,2025PE1096,Information Technology
Aavya Reddy,2023PE1097,Information Technology
Vihaan Deshmukh,2023PE1098,Information Technology
Ishani Patel,2025PE1099,Information Technology
Aarav Mehta,2023PE1100,ECS
Aaryan Choudhury,2026PE1101,ECS
Kyra Patel,2026PE1102,ECS
Zara Reddy,2025PE1103,ECS
Sarah Reddy,2023PE1104,ECS
Ishani Malhotra,2025PE1105,ECS
Sahil Bose,2024PE1106,ECS
Anaya Khan,2024PE1107,ECS
Vihaan Mehta,2024PE1108,ECS
Reyansh Khan,2025PE1109,ECS
Kyra Kulkarni,2026PE1110,ECS
Ishaan Deshmukh,2025PE1111,ECS
Saira Deshmukh,2025PE1112,ECS
Sai Reddy,2026PE1113,ECS
Sarah Patel,2024PE1114,ECS
Rohan Iyer,2023PE1115,ECS
Meera Kulkarni,2026PE1116,ECS
Aarav Gadhavi,2026PE1117,ECS
Arjun D'Souza,2023PE1118,ECS
Priya Choudhury,2023PE1119,ECS
Myra Reddy,2024PE1120,ECS
Anaya Sharma,2024PE1121,ECS
Kabir Patel,2024PE1122,ECS
Rohan Mehta,2024PE1123,ECS
Kyra Reddy,2025PE1124,ECS
Saira Kulkarni,2024PE1125,ECS
Vihaan Choudhury,2023PE1126,ECS
Saira Joshi,2024PE1127,ECS
Advait Gupta,2024PE1128,ECS
Myra Kulkarni,2024PE1129,ECS
Rohan Iyer,2023PE1130,ECS
Vihaan Patel,2025PE1131,ECS
Priya Bose,2023PE1132,ECS
Kevin Choudhury,2026PE1133,ECS
Sahil Khan,2026PE1134,ECS
Sarah Choudhury,2023PE1135,ECS
Priya Singh,2025PE1136,ECS
Emily Khan,2023PE1137,ECS
Anaya Malhotra,2025PE1138,ECS
Aarav Gupta,2023PE1139,ECS
Sai Joshi,2026PE1140,ECS
Sai Gupta,2026PE1141,ECS
Ishani Menon,2023PE1142,ECS
Ishani Choudhury,2023PE1143,ECS
Advait Gadhavi,2024PE1144,ECS
Vihaan Choudhury,2026PE1145,ECS
Ishani Gadhavi,2026PE1146,ECS
Ishaan Verma,2025PE1147,ECS
Ishani Deshmukh,2026PE1148,ECS
Anaya Menon,2024PE1149,ECS
Ishani Joshi,2024PE1150,EXTC
Kevin Deshmukh,2026PE1151,EXTC
Vihaan Reddy,2026PE1152,EXTC
Aavya Sharma,2023PE1153,EXTC
Zara Verma,2026PE1154,EXTC
Aavya Joshi,2025PE1155,EXTC
Anaya Iyer,2026PE1156,EXTC
Kevin Gadhavi,2025PE1157,EXTC
Kyra Reddy,2026PE1158,EXTC
Arjun Deshmukh,2026PE1159,EXTC
Sarah Malhotra,2023PE1160,EXTC
Saanvi Gadhavi,2023PE1161,EXTC
Vihaan Singh,2023PE1162,EXTC
Isha Reddy,2024PE1163,EXTC
Rohan D'Souza,2026PE1164,EXTC
Rohan Mehta,2026PE1165,EXTC
Kabir Iyer,2023PE1166,EXTC
Anaya Singh,2025PE1167,EXTC
Isha Singh,2026PE1168,EXTC
Priya Gadhavi,2025PE1169,EXTC
Kevin Kulkarni,2023PE1170,EXTC
Myra Das,2025PE1171,EXTC
Rohan Kulkarni,2023PE1172,EXTC
Anaya Mehta,2025PE1173,EXTC
Aavya Malhotra,2023PE1174,EXTC
Priya Sharma,2025PE1175,EXTC
Advait Deshmukh,2023PE1176,EXTC
Saira Sharma,2025PE1177,EXTC
Sarah Singh,2025PE1178,EXTC
Meera Bose,2023PE1179,EXTC
Sarah Iyer,2023PE1180,EXTC
Ishaan Deshmukh,2024PE1181,EXTC
Sai Iyer,2023PE1182,EXTC
Emily Das,2023PE1183,EXTC
Saira Deshmukh,2026PE1184,EXTC
Kyra Gadhavi,2025PE1185,EXTC
Kevin Gupta,2023PE1186,EXTC
Aaryan Kulkarni,2023PE1187,EXTC
Sahil Sharma,2023PE1188,EXTC
Kabir Mehta,2025PE1189,EXTC
Myra Deshmukh,2023PE1190,EXTC
Priya Gupta,2024PE1191,EXTC
Emily Nair,2025PE1192,EXTC
Priya D'Souza,2024PE1193,EXTC
Priya Nair,2025PE1194,EXTC
Arjun Das,2024PE1195,EXTC
Sai Malhotra,2025PE1196,EXTC
Sahil Das,2025PE1197,EXTC
Isha Patel,2023PE1198,EXTC
Aditya Patel,2024PE1199,EXTC
Anaya Patel,2023PE1200,Mechanical
Sai Bose,2025PE1201,Mechanical
Rohan Patel,2023PE1202,Mechanical
Vihaan Menon,2025PE1203,Mechanical
Arjun Iyer,2023PE1204,Mechanical
Anaya Mehta,2024PE1205,Mechanical
Sarah D'Souza,2023PE1206,Mechanical
Arjun Nair,2024PE1207,Mechanical
Kyra Khan,2025PE1208,Mechanical
Ishaan Sharma,2023PE1209,Mechanical
Sahil Bose,2026PE1210,Mechanical
Zara Kulkarni,2023PE1211,Mechanical
Reyansh Bose,2026PE1212,Mechanical
Sahil Patel,2025PE1213,Mechanical
Kyra Patel,2026PE1214,Mechanical
Aavya Khan,2023PE1215,Mechanical
Myra Sharma,2023PE1216,Mechanical
Meera Reddy,2023PE1217,Mechanical
Meera Patel,2026PE1218,Mechanical
Isha Verma,2023PE1219,Mechanical
Ishaan Verma,2026PE1220,Mechanical
Vihaan Menon,2024PE1221,Mechanical
Kyra Menon,2023PE1222,Mechanical
Arjun Sharma,2023PE1223,Mechanical
Rohan Singh,2024PE1224,Mechanical
Aaryan D'Souza,2026PE1225,Mechanical
John Das,2025PE1226,Mechanical
Priya Das,2026PE1227,Mechanical
Rohan Malhotra,2025PE1228,Mechanical
Kabir Malhotra,2025PE1229,Mechanical
Diya D'Souza,2023PE1230,Mechanical
Arjun Nair,2025PE1231,Mechanical
Sahil Joshi,2023PE1232,Mechanical
Priya Bose,2024PE1233,Mechanical
Anaya Nair,2024PE1234,Mechanical
Sarah Gupta,2025PE1235,Mechanical
Ishaan Deshmukh,2025PE1236,Mechanical
Priya Verma,2024PE1237,Mechanical
Priya Nair,2025PE1238,Mechanical
Kyra Joshi,2025PE1239,Mechanical
Sahil Mehta,2026PE1240,Mechanical
Kyra Joshi,2024PE1241,Mechanical
Myra Malhotra,2026PE1242,Mechanical
Myra Gupta,2025PE1243,Mechanical
Isha Menon,2024PE1244,Mechanical
Advait Gadhavi,2024PE1245,Mechanical
Sai Bose,2026PE1246,Mechanical
Emily Gadhavi,2023PE1247,Mechanical
Aarav Kulkarni,2024PE1248,Mechanical
Anaya Iyer,2026PE1249,Mechanical
Priya Iyer,2023PE1250,Automobile
Sai Kulkarni,2025PE1251,Automobile
Vihaan Malhotra,2023PE1252,Automobile
Isha Das,2026PE1253,Automobile
Advait Reddy,2025PE1254,Automobile
Ishani Deshmukh,2025PE1255,Automobile
Sahil D'Souza,2025PE1256,Automobile
Meera Reddy,2024PE1257,Automobile
Sarah Gupta,2026PE1258,Automobile
Rohan Malhotra,2026PE1259,Automobile
Advait Sharma,2026PE1260,Automobile
Ishaan Malhotra,2024PE1261,Automobile
Kabir Choudhury,2023PE1262,Automobile
Ishaan Joshi,2024PE1263,Automobile
Reyansh Gupta,2024PE1264,Automobile
Aarav Choudhury,2026PE1265,Automobile
Kabir Verma,2024PE1266,Automobile
Advait Das,2023PE1267,Automobile
Diya Bose,2026PE1268,Automobile
John Deshmukh,2025PE1269,Automobile
Anaya Joshi,2026PE1270,Automobile
Sarah Nair,2025PE1271,Automobile
Myra Mehta,2023PE1272,Automobile
Aaryan Kulkarni,2025PE1273,Automobile
Myra Joshi,2024PE1274,Automobile
Diya Reddy,2025PE1275,Automobile
Meera Sharma,2023PE1276,Automobile
Vihaan Mehta,2024PE1277,Automobile
Advait Gadhavi,2023PE1278,Automobile
Diya Nair,2024PE1279,Automobile
Emily Patel,2025PE1280,Automobile
Sarah Verma,2025PE1281,Automobile
Emily D'Souza,2023PE1282,Automobile
Kyra Joshi,2025PE1283,Automobile
Priya Khan,2026PE1284,Automobile
Saanvi Gadhavi,2024PE1285,Automobile
Aarav Das,2024PE1286,Automobile
Saira Sharma,2025PE1287,Automobile
Priya D'Souza,2024PE1288,Automobile
Arjun Deshmukh,2026PE1289,Automobile
Kabir Nair,2025PE1290,Automobile
Meera Nair,2026PE1291,Automobile
Arjun Verma,2023PE1292,Automobile
Kabir Reddy,2025PE1293,Automobile
Diya Choudhury,2025PE1294,Automobile
Vihaan Gupta,2024PE1295,Automobile
Aaryan Bose,2026PE1296,Automobile
Diya Reddy,2025PE1297,Automobile
Sahil Malhotra,2024PE1298,Automobile
Sarah Sharma,2025PE1299,Automobile
