Student Name,Admission No.,Book Name,Date of Issue,Date of Return,Days Due
Sanya Mehta,2023PE3148,Introduction to Algorithms,2026-01-05,2026-01-27,8
Ananya Iyer,2023PE8169,IC Engines,2026-01-14,2026-01-31,3
Ananya Iyer,2023PE8169,Signals and Systems,2026-01-26,2026-02-13,4
Ananya Iyer,2023PE8169,Web Technologies,2026-01-24,2026-02-07,0
Ananya Iyer,2023PE8169,Introduction to Algorithms,2026-01-07,2026-02-01,11
Isha Deshmukh,2022PE6498,IC Engines,2026-01-29,2026-02-09,0
Isha Deshmukh,2022PE6498,Web Technologies,2026-01-09,2026-01-17,0
Isha Deshmukh,2022PE6498,Microprocessors,2026-01-22,2026-02-08,3
Isha Deshmukh,2022PE6498,Web Technologies,2026-02-20,2026-03-02,0
Isha Deshmukh,2023PE2107,IC Engines,2026-01-15,2026-02-08,10
Isha Deshmukh,2023PE2107,Introduction to Algorithms,2026-01-12,2026-01-25,0
Isha Deshmukh,2023PE2107,Introduction to Algorithms,2026-01-20,2026-02-04,1
Isha Deshmukh,2023PE2107,Machine Learning,2026-01-02,2026-01-20,4
Arjun Nair,2023PE5085,Microprocessors,2026-01-18,2026-01-31,0
Arjun Nair,2023PE5085,IC Engines,2026-01-16,2026-01-31,1
Arjun Nair,2023PE5085,Thermodynamics,2026-02-03,2026-02-24,7
Arjun Nair,2023PE5085,Introduction to Algorithms,2026-01-30,2026-02-21,8
Arjun Nair,2023PE9819,Microprocessors,2026-02-04,2026-02-22,4
Arjun Nair,2023PE9819,Microprocessors,2026-02-19,2026-03-02,0
Arjun Nair,2023PE9819,Web Technologies,2026-02-25,2026-03-06,0
Arjun Nair,2023PE9819,Thermodynamics,2026-02-21,2026-03-18,11
Ananya Iyer,2022PE4607,Machine Learning,2026-02-21,2026-03-06,0
Ananya Iyer,2022PE4607,Signals and Systems,2026-02-08,2026-03-02,8
Ananya Iyer,2022PE4607,Signals and Systems,2026-01-25,2026-02-04,0
Ananya Iyer,2022PE4607,Web Technologies,2026-02-15,2026-03-11,10
Aarav Sharma,2022PE7388,Introduction to Algorithms,2026-02-24,2026-03-20,10
Aarav Sharma,2022PE7388,Introduction to Algorithms,2026-01-22,2026-02-13,8
Aarav Sharma,2022PE7388,Machine Learning,2026-01-27,2026-02-17,7
Aarav Sharma,2022PE7388,Signals and Systems,2026-01-23,2026-02-08,2
Aarav Sharma,2022PE4177,Thermodynamics,2026-02-25,2026-03-13,2
Aarav Sharma,2022PE4177,Introduction to Algorithms,2026-01-23,2026-02-02,0
Aarav Sharma,2022PE4177,Thermodynamics,2026-01-30,2026-02-09,0
Aarav Sharma,2022PE4177,IC Engines,2026-01-26,2026-02-08,0
Arjun Nair,2022PE1341,Thermodynamics,2026-01-14,2026-01-21,0
Arjun Nair,2022PE1341,Microprocessors,2026-01-14,2026-01-30,2
Arjun Nair,2022PE1341,Signals and Systems,2026-02-07,2026-03-02,9
Arjun Nair,2022PE1341,IC Engines,2026-03-01,2026-03-08,0
Kiara Joshi,2022PE5601,Web Technologies,2026-02-12,2026-02-25,0
Kiara Joshi,2022PE5601,Signals and Systems,2026-01-30,2026-02-24,11
Kiara Joshi,2022PE5601,Web Technologies,2026-02-23,2026-03-05,0
Kiara Joshi,2022PE5601,IC Engines,2026-02-16,2026-02-23,0
Vihaan Patil,2023PE5615,Introduction to Algorithms,2026-02-12,2026-02-19,0
Vihaan Patil,2023PE5615,Microprocessors,2026-02-20,2026-03-10,4
Vihaan Patil,2023PE5615,Machine Learning,2026-02-05,2026-02-13,0
Vihaan Patil,2023PE5615,Signals and Systems,2026-01-11,2026-01-18,0
Vihaan Patil,2022PE1597,IC Engines,2026-01-07,2026-01-20,0
Vihaan Patil,2022PE1597,IC Engines,2026-02-18,2026-03-07,3
Vihaan Patil,2022PE1597,Thermodynamics,2026-01-14,2026-02-04,7
Vihaan Patil,2022PE1597,Web Technologies,2026-02-04,2026-02-16,0
Sanya Mehta,2022PE8175,Machine Learning,2026-01-24,2026-02-05,0
Sanya Mehta,2022PE8175,Web Technologies,2026-01-12,2026-02-03,8
Sanya Mehta,2022PE8175,Web Technologies,2026-01-25,2026-02-13,5
Sanya Mehta,2022PE8175,Signals and Systems,2026-03-02,2026-03-26,10
Kiara Joshi,2023PE2034,Signals and Systems,2026-01-14,2026-02-07,10
Kiara Joshi,2023PE2034,Microprocessors,2026-02-02,2026-02-18,2
Kiara Joshi,2023PE2034,Signals and Systems,2026-01-11,2026-01-24,0
Kiara Joshi,2023PE2034,Introduction to Algorithms,2026-02-12,2026-02-22,0
Arjun Nair,2023PE1392,Web Technologies,2026-02-17,2026-03-08,5
Arjun Nair,2023PE1392,IC Engines,2026-01-23,2026-02-03,0
Arjun Nair,2023PE1392,Introduction to Algorithms,2026-01-29,2026-02-21,9
Arjun Nair,2023PE1392,Machine Learning,2026-02-15,2026-03-06,5
Ananya Iyer,2022PE7490,IC Engines,2026-02-27,2026-03-14,1
Ananya Iyer,2022PE7490,Microprocessors,2026-01-19,2026-02-05,3
Ananya Iyer,2022PE7490,Microprocessors,2026-01-01,2026-01-10,0
Ananya Iyer,2022PE7490,Thermodynamics,2026-01-30,2026-02-05,0
Kiara Joshi,2022PE4230,Web Technologies,2026-01-13,2026-01-28,1
Kiara Joshi,2022PE4230,Signals and Systems,2026-01-18,2026-02-11,10
Kiara Joshi,2022PE4230,Thermodynamics,2026-02-09,2026-02-15,0
Kiara Joshi,2022PE4230,Microprocessors,2026-01-29,2026-02-05,0
Kiara Joshi,2023PE6600,Introduction to Algorithms,2026-01-09,2026-02-03,11
Kiara Joshi,2023PE6600,Web Technologies,2026-02-02,2026-02-17,1
Kiara Joshi,2023PE6600,Web Technologies,2026-01-18,2026-02-09,8
Kiara Joshi,2023PE6600,Machine Learning,2026-01-03,2026-01-23,6
Kiara Joshi,2023PE3463,Thermodynamics,2026-01-26,2026-02-05,0
Kiara Joshi,2023PE3463,Machine Learning,2026-02-05,2026-02-10,0
Kiara Joshi,2023PE3463,IC Engines,2026-03-02,2026-03-12,0
Kiara Joshi,2023PE3463,Microprocessors,2026-01-06,2026-01-21,1
Sanya Mehta,2022PE2611,Introduction to Algorithms,2026-02-24,2026-03-06,0
Sanya Mehta,2022PE2611,Signals and Systems,2026-01-15,2026-01-24,0
Sanya Mehta,2022PE2611,Signals and Systems,2026-03-01,2026-03-22,7
Sanya Mehta,2022PE2611,Web Technologies,2026-02-02,2026-02-15,0
Rohan Verma,2023PE8556,Introduction to Algorithms,2026-01-02,2026-01-23,7
Rohan Verma,2023PE8556,Web Technologies,2026-02-17,2026-03-05,2
Rohan Verma,2023PE8556,Microprocessors,2026-02-26,2026-03-19,7
Rohan Verma,2023PE8556,Machine Learning,2026-02-08,2026-02-14,0
Aarav Sharma,2022PE3331,IC Engines,2026-03-02,2026-03-19,3
Aarav Sharma,2022PE3331,Thermodynamics,2026-01-19,2026-02-02,0
Aarav Sharma,2022PE3331,Machine Learning,2026-01-25,2026-02-13,5
Aarav Sharma,2022PE3331,Introduction to Algorithms,2026-02-06,2026-02-15,0
Vihaan Patil,2022PE2042,Microprocessors,2026-01-02,2026-01-20,4
Vihaan Patil,2022PE2042,Microprocessors,2026-01-15,2026-01-21,0
Vihaan Patil,2022PE2042,Machine Learning,2026-02-12,2026-03-09,11
Vihaan Patil,2022PE2042,Introduction to Algorithms,2026-02-18,2026-03-14,10
Ananya Iyer,2022PE6549,Introduction to Algorithms,2026-02-11,2026-02-27,2
Ananya Iyer,2022PE6549,Introduction to Algorithms,2026-02-15,2026-03-03,2
Ananya Iyer,2022PE6549,IC Engines,2026-02-22,2026-03-06,0
Ananya Iyer,2022PE6549,Thermodynamics,2026-01-06,2026-01-26,6
Vihaan Patil,2023PE3792,Thermodynamics,2026-02-18,2026-03-02,0
Vihaan Patil,2023PE3792,Machine Learning,2026-01-22,2026-02-16,11
Vihaan Patil,2023PE3792,Microprocessors,2026-02-05,2026-02-10,0
Vihaan Patil,2023PE3792,Introduction to Algorithms,2026-01-08,2026-02-01,10
Isha Deshmukh,2023PE9341,Web Technologies,2026-02-17,2026-03-06,3
Isha Deshmukh,2023PE9341,Introduction to Algorithms,2026-02-27,2026-03-24,11
Isha Deshmukh,2023PE9341,Introduction to Algorithms,2026-01-02,2026-01-18,2
Isha Deshmukh,2023PE9341,Introduction to Algorithms,2026-02-11,2026-02-20,0
Ananya Iyer,2022PE1112,Web Technologies,2026-01-06,2026-01-29,9
Ananya Iyer,2022PE1112,Microprocessors,2026-02-14,2026-03-05,5
Ananya Iyer,2022PE1112,Machine Learning,2026-02-02,2026-02-09,0
Ananya Iyer,2022PE1112,Introduction to Algorithms,2026-02-26,2026-03-11,0
Aarav Sharma,2022PE2434,Signals and Systems,2026-02-13,2026-02-24,0
Aarav Sharma,2022PE2434,Microprocessors,2026-02-08,2026-03-02,8
Aarav Sharma,2022PE2434,Signals and Systems,2026-01-06,2026-01-22,2
Aarav Sharma,2022PE2434,Signals and Systems,2026-01-24,2026-02-18,11
Ananya Iyer,2023PE5844,Signals and Systems,2026-03-01,2026-03-23,8
Ananya Iyer,2023PE5844,Thermodynamics,2026-01-29,2026-02-16,4
Ananya Iyer,2023PE5844,Web Technologies,2026-03-02,2026-03-18,2
Ananya Iyer,2023PE5844,IC Engines,2026-01-12,2026-01-24,0
Rohan Verma,2022PE1894,IC Engines,2026-03-01,2026-03-07,0
Rohan Verma,2022PE1894,Microprocessors,2026-02-25,2026-03-03,0
Rohan Verma,2022PE1894,IC Engines,2026-02-08,2026-03-01,7
Rohan Verma,2022PE1894,Introduction to Algorithms,2026-01-20,2026-02-11,8
Kiara Joshi,2022PE9119,Web Technologies,2026-01-21,2026-02-09,5
Kiara Joshi,2022PE9119,Thermodynamics,2026-02-21,2026-03-02,0
Kiara Joshi,2022PE9119,Signals and Systems,2026-02-13,2026-03-04,5
Kiara Joshi,2022PE9119,Machine Learning,2026-01-03,2026-01-23,6
Isha Deshmukh,2022PE2263,Machine Learning,2026-01-27,2026-02-20,10
Isha Deshmukh,2022PE2263,Microprocessors,2026-01-13,2026-01-27,0
Isha Deshmukh,2022PE2263,Microprocessors,2026-01-28,2026-02-05,0
Isha Deshmukh,2022PE2263,Microprocessors,2026-02-24,2026-03-07,0
Sanya Mehta,2022PE8639,Introduction to Algorithms,2026-01-04,2026-01-19,1
Sanya Mehta,2022PE8639,Signals and Systems,2026-02-14,2026-02-26,0
Sanya Mehta,2022PE8639,Microprocessors,2026-02-02,2026-02-13,0
Sanya Mehta,2022PE8639,Signals and Systems,2026-02-05,2026-02-24,5
Isha Deshmukh,2023PE1480,IC Engines,2026-01-04,2026-01-16,0
Isha Deshmukh,2023PE1480,Microprocessors,2026-01-26,2026-02-09,0
Isha Deshmukh,2023PE1480,Machine Learning,2026-02-17,2026-03-11,8
Isha Deshmukh,2023PE1480,Microprocessors,2026-02-27,2026-03-22,9
Isha Deshmukh,2022PE6528,Signals and Systems,2026-02-28,2026-03-10,0
Isha Deshmukh,2022PE6528,Introduction to Algorithms,2026-02-17,2026-03-03,0
Isha Deshmukh,2022PE6528,Web Technologies,2026-01-25,2026-02-14,6
Isha Deshmukh,2022PE6528,Machine Learning,2026-01-10,2026-01-18,0
Rohan Verma,2023PE1526,Thermodynamics,2026-01-25,2026-02-13,5
Rohan Verma,2023PE1526,Thermodynamics,2026-01-24,2026-02-18,11
Rohan Verma,2023PE1526,Thermodynamics,2026-02-27,2026-03-23,10
Rohan Verma,2023PE1526,Web Technologies,2026-01-05,2026-01-19,0
Ananya Iyer,2022PE2422,Signals and Systems,2026-01-15,2026-02-02,4
Ananya Iyer,2022PE2422,Thermodynamics,2026-02-16,2026-03-09,7
Ananya Iyer,2022PE2422,Introduction to Algorithms,2026-02-17,2026-03-07,4
Ananya Iyer,2022PE2422,Thermodynamics,2026-01-11,2026-01-16,0
Sanya Mehta,2023PE5135,Web Technologies,2026-02-04,2026-02-19,1
Sanya Mehta,2023PE5135,Signals and Systems,2026-02-17,2026-02-23,0
Sanya Mehta,2023PE5135,Machine Learning,2026-02-07,2026-02-21,0
Sanya Mehta,2023PE5135,Thermodynamics,2026-02-09,2026-02-14,0
Vihaan Patil,2023PE7962,Signals and Systems,2026-01-05,2026-01-13,0
Vihaan Patil,2023PE7962,Thermodynamics,2026-01-21,2026-02-12,8
Vihaan Patil,2023PE7962,Introduction to Algorithms,2026-02-17,2026-02-26,0
Vihaan Patil,2023PE7962,Signals and Systems,2026-01-22,2026-02-09,4
Isha Deshmukh,2023PE6892,Microprocessors,2026-01-04,2026-01-26,8
Isha Deshmukh,2023PE6892,Thermodynamics,2026-01-20,2026-01-30,0
Isha Deshmukh,2023PE6892,Introduction to Algorithms,2026-01-14,2026-01-30,2
Isha Deshmukh,2023PE6892,Signals and Systems,2026-02-23,2026-03-09,0
Sanya Mehta,2022PE7928,Web Technologies,2026-01-13,2026-02-01,5
Sanya Mehta,2022PE7928,Web Technologies,2026-01-18,2026-02-06,5
Sanya Mehta,2022PE7928,Microprocessors,2026-02-11,2026-03-05,8
Sanya Mehta,2022PE7928,Web Technologies,2026-02-13,2026-02-21,0
Kiara Joshi,2022PE8161,IC Engines,2026-02-15,2026-03-11,10
Kiara Joshi,2022PE8161,Microprocessors,2026-02-24,2026-03-11,1
Kiara Joshi,2022PE8161,Web Technologies,2026-01-02,2026-01-11,0
Kiara Joshi,2022PE8161,Machine Learning,2026-02-13,2026-02-28,1
Sanya Mehta,2022PE2689,Thermodynamics,2026-02-23,2026-03-08,0
Sanya Mehta,2022PE2689,Microprocessors,2026-01-12,2026-01-28,2
Sanya Mehta,2022PE2689,Signals and Systems,2026-02-09,2026-03-04,9
Sanya Mehta,2022PE2689,Thermodynamics,2026-02-09,2026-02-25,2
Vihaan Patil,2023PE8213,Thermodynamics,2026-01-20,2026-01-27,0
Vihaan Patil,2023PE8213,Machine Learning,2026-02-12,2026-03-05,7
Vihaan Patil,2023PE8213,Thermodynamics,2026-02-25,2026-03-13,2
Vihaan Patil,2023PE8213,Thermodynamics,2026-02-06,2026-03-03,11
Kiara Joshi,2023PE6389,Microprocessors,2026-01-20,2026-02-08,5
Kiara Joshi,2023PE6389,Machine Learning,2026-02-02,2026-02-16,0
Kiara Joshi,2023PE6389,Thermodynamics,2026-01-31,2026-02-24,10
Kiara Joshi,2023PE6389,IC Engines,2026-01-22,2026-02-02,0
Kiara Joshi,2022PE9758,Microprocessors,2026-02-02,2026-02-26,10
Kiara Joshi,2022PE9758,Thermodynamics,2026-01-20,2026-02-10,7
Kiara Joshi,2022PE9758,Introduction to Algorithms,2026-01-07,2026-01-15,0
Kiara Joshi,2022PE9758,Thermodynamics,2026-02-23,2026-03-14,5
Vihaan Patil,2022PE8109,Signals and Systems,2026-02-03,2026-02-26,9
Vihaan Patil,2022PE8109,Microprocessors,2026-03-02,2026-03-18,2
Vihaan Patil,2022PE8109,Thermodynamics,2026-01-05,2026-01-19,0
Vihaan Patil,2022PE8109,Web Technologies,2026-02-18,2026-02-25,0
Ananya Iyer,2022PE8867,Web Technologies,2026-01-10,2026-01-22,0
Ananya Iyer,2022PE8867,Thermodynamics,2026-01-04,2026-01-16,0
Ananya Iyer,2022PE8867,Web Technologies,2026-02-02,2026-02-09,0
Ananya Iyer,2022PE8867,IC Engines,2026-01-21,2026-01-31,0
Ananya Iyer,2023PE1090,Thermodynamics,2026-02-09,2026-02-26,3
Ananya Iyer,2023PE1090,Web Technologies,2026-01-12,2026-01-26,0
Ananya Iyer,2023PE1090,Microprocessors,2026-01-21,2026-02-14,10
Ananya Iyer,2023PE1090,Microprocessors,2026-01-15,2026-02-04,6
Aarav Sharma,2022PE7035,Thermodynamics,2026-02-20,2026-03-11,5
Aarav Sharma,2022PE7035,Web Technologies,2026-02-11,2026-02-22,0
Aarav Sharma,2022PE7035,Web Technologies,2026-02-17,2026-02-28,0
Aarav Sharma,2022PE7035,Introduction to Algorithms,2026-02-13,2026-02-23,0
Aarav Sharma,2023PE4754,Web Technologies,2026-01-07,2026-01-26,5
Aarav Sharma,2023PE4754,Web Technologies,2026-01-12,2026-02-02,7
Aarav Sharma,2023PE4754,Microprocessors,2026-02-16,2026-03-04,2
Aarav Sharma,2023PE4754,Web Technologies,2026-01-24,2026-02-15,8
Kiara Joshi,2023PE7121,Thermodynamics,2026-02-03,2026-02-15,0
Kiara Joshi,2023PE7121,Introduction to Algorithms,2026-01-28,2026-02-08,0
Kiara Joshi,2023PE7121,Introduction to Algorithms,2026-01-16,2026-02-03,4
Kiara Joshi,2023PE7121,IC Engines,2026-02-09,2026-02-21,0
Isha Deshmukh,2022PE7922,Signals and Systems,2026-01-28,2026-02-19,8
Isha Deshmukh,2022PE7922,Microprocessors,2026-01-27,2026-02-01,0
Isha Deshmukh,2022PE7922,Thermodynamics,2026-02-27,2026-03-04,0
Isha Deshmukh,2022PE7922,Thermodynamics,2026-01-05,2026-01-28,9
Vihaan Patil,2023PE5044,IC Engines,2026-02-15,2026-02-25,0
Vihaan Patil,2023PE5044,Introduction to Algorithms,2026-02-08,2026-02-14,0
Vihaan Patil,2023PE5044,IC Engines,2026-01-12,2026-01-20,0
Vihaan Patil,2023PE5044,Introduction to Algorithms,2026-02-12,2026-03-09,11
Vihaan Patil,2022PE1022,Signals and Systems,2026-01-14,2026-02-04,7
Vihaan Patil,2022PE1022,Thermodynamics,2026-01-12,2026-02-04,9
Vihaan Patil,2022PE1022,IC Engines,2026-02-20,2026-02-27,0
Vihaan Patil,2022PE1022,IC Engines,2026-01-05,2026-01-22,3
Rohan Verma,2022PE3307,Signals and Systems,2026-03-02,2026-03-08,0
Rohan Verma,2022PE3307,Introduction to Algorithms,2026-01-16,2026-01-24,0
Rohan Verma,2022PE3307,Introduction to Algorithms,2026-01-09,2026-01-22,0
Rohan Verma,2022PE3307,Signals and Systems,2026-02-08,2026-02-24,2
Isha Deshmukh,2022PE3404,Thermodynamics,2026-02-01,2026-02-25,10
Isha Deshmukh,2022PE3404,Signals and Systems,2026-01-18,2026-01-23,0
Isha Deshmukh,2022PE3404,Machine Learning,2026-02-28,2026-03-25,11
Isha Deshmukh,2022PE3404,Web Technologies,2026-01-26,2026-02-20,11
Kiara Joshi,2023PE7620,Microprocessors,2026-02-14,2026-03-10,10
Kiara Joshi,2023PE7620,Thermodynamics,2026-02-09,2026-03-04,9
Kiara Joshi,2023PE7620,Microprocessors,2026-02-08,2026-02-18,0
Kiara Joshi,2023PE7620,Web Technologies,2026-01-01,2026-01-07,0
Aarav Sharma,2023PE3356,IC Engines,2026-02-02,2026-02-17,1
Aarav Sharma,2023PE3356,Microprocessors,2026-01-29,2026-02-13,1
Aarav Sharma,2023PE3356,Thermodynamics,2026-02-23,2026-03-13,4
Aarav Sharma,2023PE3356,Web Technologies,2026-01-25,2026-02-12,4
Kiara Joshi,2022PE8571,Signals and Systems,2026-02-08,2026-02-28,6
Kiara Joshi,2022PE8571,Web Technologies,2026-02-13,2026-02-26,0
Kiara Joshi,2022PE8571,Introduction to Algorithms,2026-02-22,2026-03-10,2
Kiara Joshi,2022PE8571,Signals and Systems,2026-01-31,2026-02-11,0
Vihaan Patil,2022PE8474,Web Technologies,2026-01-22,2026-01-31,0
Vihaan Patil,2022PE8474,Web Technologies,2026-02-12,2026-03-08,10
Vihaan Patil,2022PE8474,IC Engines,2026-01-24,2026-01-30,0
Vihaan Patil,2022PE8474,Introduction to Algorithms,2026-01-25,2026-02-11,3
Ananya Iyer,2023PE1120,Web Technologies,2026-01-17,2026-01-28,0
Ananya Iyer,2023PE1120,Signals and Systems,2026-01-17,2026-01-29,0
Ananya Iyer,2023PE1120,Signals and Systems,2026-02-07,2026-02-22,1
Ananya Iyer,2023PE1120,Microprocessors,2026-01-21,2026-02-04,0
Ananya Iyer,2023PE8919,IC Engines,2026-01-26,2026-02-09,0
Ananya Iyer,2023PE8919,Web Technologies,2026-01-11,2026-01-19,0
Ananya Iyer,2023PE8919,Thermodynamics,2026-01-20,2026-02-10,7
Ananya Iyer,2023PE8919,Thermodynamics,2026-02-05,2026-02-19,0
Aarav Sharma,2022PE1133,Microprocessors,2026-01-04,2026-01-27,9
Aarav Sharma,2022PE1133,Thermodynamics,2026-01-21,2026-01-30,0
