Name,Admission_Number,Department
Isha Gupta,2022PE7866,ECS
Rohan Mehta,2022PE4765,ECS
Tanvi Kulkarni,2022PE4730,ECS
Isha Iyer,2023PE1010,ECS
Kiara Gupta,2023PE9477,ECS
Vihaan Verma,2023PE8838,ECS
Sanya Sharma,2022PE5248,ECS
Riya Deshmukh,2022PE8817,ECS
Riya Kulkarni,2022PE4590,ECS
Karan Deshmukh,2023PE8505,ECS
Ananya Joshi,2022PE6186,ECS
Vihaan Iyer,2022PE4494,ECS
Kiara Iyer,2023PE2887,ECS
Rohan Iyer,2022PE7450,ECS
Kiara Gupta,2022PE6300,ECS
Riya Gupta,2022PE1702,ECS
Tanvi Joshi,2023PE9864,ECS
Vihaan Joshi,2023PE1433,ECS
Sanya Gupta,2022PE3369,ECS
Ananya Iyer,2022PE3475,ECS
Sanya Joshi,2023PE5881,ECS
Vihaan Kulkarni,2023PE1809,ECS
Riya Patil,2022PE4297,ECS
Tanvi Iyer,2023PE5854,ECS
Tanvi Mehta,2023PE3290,ECS
Aditya Sharma,2023PE1964,ECS
Tanvi Patil,2023PE2460,ECS
Sanya Patil,2022PE8786,ECS
Arjun Patil,2023PE5328,ECS
Arjun Mehta,2023PE7558,ECS
Vihaan Patil,2022PE5725,ECS
Vihaan Gupta,2023PE8880,ECS
Vihaan Patil,2022PE7566,ECS
Vihaan Iyer,2022PE9317,ECS
Kiara Verma,2022PE3184,ECS
Arjun Patil,2022PE6138,ECS
Isha Verma,2022PE1459,ECS
Karan Sharma,2022PE5740,ECS
Vihaan Deshmukh,2022PE7863,ECS
Aditya Deshmukh,2023PE1279,ECS
Riya Deshmukh,2022PE8688,ECS
Kiara Mehta,2023PE6132,ECS
Aarav Nair,2023PE4216,ECS
Sanya Gupta,2023PE9299,ECS
Aditya Sharma,2023PE2369,ECS
Tanvi Patil,2022PE6291,ECS
Rohan Nair,2023PE4896,ECS
Ananya Verma,2023PE6884,ECS
Karan Kulkarni,2022PE1900,EXTC
Aditya Kulkarni,2022PE5377,EXTC
Sanya Mehta,2022PE2585,EXTC
Karan Iyer,2023PE2751,EXTC
Karan Sharma,2023PE9619,EXTC
Vihaan Iyer,2023PE8727,EXTC
Aditya Gupta,2023PE9427,EXTC
Riya Nair,2023PE8824,EXTC
Arjun Nair,2022PE1927,EXTC
Karan Gupta,2022PE6558,EXTC
Vihaan Patil,2022PE1807,EXTC
Rohan Nair,2023PE5887,EXTC
Arjun Gupta,2022PE5403,EXTC
Aarav Gupta,2023PE2037,EXTC
Kiara Iyer,2023PE7774,EXTC
Riya Deshmukh,2022PE7589,EXTC
Karan Patil,2022PE9173,EXTC
Aarav Deshmukh,2022PE3309,EXTC
Isha Verma,2023PE4499,EXTC
Arjun Mehta,2023PE7501,EXTC
Vihaan Sharma,2023PE2114,EXTC
Vihaan Joshi,2022PE5560,EXTC
Isha Iyer,2022PE7943,EXTC
Kiara Verma,2023PE6136,EXTC
Tanvi Iyer,2023PE1276,EXTC
Rohan Patil,2022PE6713,EXTC
Kiara Verma,2022PE4094,EXTC
Karan Nair,2023PE5150,EXTC
Aarav Joshi,2023PE6184,EXTC
Tanvi Verma,2023PE9695,EXTC
Vihaan Joshi,2022PE8382,EXTC
Aarav Verma,2022PE7002,EXTC
Karan Gupta,2023PE5924,EXTC
Aditya Joshi,2023PE5414,EXTC
Rohan Nair,2022PE1592,EXTC
Aditya Gupta,2023PE3217,EXTC
Isha Iyer,2022PE2951,EXTC
Aditya Kulkarni,2022PE1403,EXTC
Isha Sharma,2022PE2760,EXTC
Karan Kulkarni,2022PE9545,EXTC
Vihaan Joshi,2022PE8986,EXTC
Sanya Mehta,2023PE7672,EXTC
Aditya Sharma,2023PE8330,EXTC
Isha Verma,2023PE7354,EXTC
Isha Sharma,2023PE6531,EXTC
Karan Deshmukh,2022PE5781,EXTC
Vihaan Iyer,2023PE5194,EXTC
Tanvi Verma,2023PE6489,EXTC
Sanya Nair,2022PE7773,EXTC
Tanvi Mehta,2022PE6020,MECH
Rohan Gupta,2022PE5316,MECH
Vihaan Gupta,2023PE8738,MECH
Tanvi Verma,2022PE7919,MECH
Karan Verma,2023PE5629,MECH
Aditya Gupta,2022PE3720,MECH
Kiara Kulkarni,2022PE5974,MECH
Ananya Kulkarni,2023PE5861,MECH
Karan Mehta,2022PE4681,MECH
Arjun Deshmukh,2023PE2663,MECH
Arjun Patil,2022PE8686,MECH
Rohan Patil,2023PE6174,MECH
Vihaan Mehta,2022PE6773,MECH
Aarav Deshmukh,2022PE8878,MECH
Arjun Patil,2022PE4183,MECH
Rohan Iyer,2023PE2602,MECH
Arjun Verma,2023PE3031,MECH
Arjun Mehta,2022PE1698,MECH
Tanvi Iyer,2023PE1646,MECH
Rohan Verma,2023PE4868,MECH
Isha Deshmukh,2022PE9152,MECH
Aditya Kulkarni,2022PE9698,MECH
Tanvi Iyer,2022PE9709,MECH
Ananya Joshi,2023PE6206,MECH
Aditya Iyer,2023PE2847,MECH
Arjun Verma,2023PE8725,MECH
Isha Mehta,2023PE3191,MECH
Sanya Iyer,2023PE2347,MECH
Karan Joshi,2022PE8379,MECH
Aarav Verma,2022PE8094,MECH
Sanya Gupta,2022PE4365,MECH
Arjun Gupta,2023PE7216,MECH
Arjun Sharma,2023PE5254,MECH
Ananya Iyer,2022PE4393,MECH
Ananya Kulkarni,2023PE3889,MECH
Karan Gupta,2022PE6605,MECH
Sanya Sharma,2023PE6716,MECH
Ananya Gupta,2022PE5513,MECH
Sanya Iyer,2023PE7344,MECH
Ananya Kulkarni,2022PE5751,MECH
Arjun Gupta,2023PE9530,MECH
Karan Joshi,2023PE4441,MECH
Tanvi Sharma,2022PE7636,MECH
Vihaan Mehta,2022PE7230,MECH
Isha Mehta,2023PE7236,MECH
Sanya Nair,2022PE9378,MECH
Rohan Nair,2022PE7264,MECH
Arjun Patil,2022PE2257,MECH
Arjun Deshmukh,2022PE2619,MECH
Tanvi Deshmukh,2022PE4165,MECH
Vihaan Iyer,2022PE7272,AUTO
Rohan Sharma,2022PE2658,AUTO
Riya Deshmukh,2023PE4648,AUTO
Isha Deshmukh,2023PE7322,AUTO
Riya Kulkarni,2022PE1629,AUTO
Vihaan Iyer,2023PE8282,AUTO
Kiara Mehta,2023PE1595,AUTO
Ananya Gupta,2023PE2738,AUTO
Rohan Deshmukh,2023PE5036,AUTO
Aarav Patil,2023PE5833,AUTO
Tanvi Joshi,2022PE3925,AUTO
Kiara Nair,2022PE9921,AUTO
Vihaan Mehta,2022PE7094,AUTO
Aarav Iyer,2022PE6824,AUTO
Karan Sharma,2023PE3377,AUTO
Tanvi Sharma,2022PE5611,AUTO
Aditya Deshmukh,2023PE3764,AUTO
Vihaan Iyer,2023PE4717,AUTO
Arjun Verma,2022PE2104,AUTO
Aditya Sharma,2022PE7400,AUTO
Aditya Sharma,2023PE7454,AUTO
Karan Iyer,2022PE8460,AUTO
Ananya Nair,2022PE4331,AUTO
Aarav Iyer,2023PE7522,AUTO
Riya Joshi,2022PE1858,AUTO
Ananya Mehta,2023PE6559,AUTO
Riya Joshi,2022PE9369,AUTO
Sanya Gupta,2023PE8273,AUTO
Rohan Deshmukh,2022PE1620,AUTO
Aarav Deshmukh,2022PE5801,AUTO
Rohan Nair,2023PE9163,AUTO
Riya Joshi,2022PE4008,AUTO
Sanya Nair,2023PE3158,AUTO
Sanya Deshmukh,2022PE6790,AUTO
Ananya Nair,2023PE9711,AUTO
Aarav Mehta,2022PE9348,AUTO
Aarav Sharma,2023PE2239,AUTO
Arjun Sharma,2022PE1642,AUTO
Isha Mehta,2023PE5712,AUTO
Ananya Joshi,2023PE3742,AUTO
Sanya Joshi,2023PE7449,AUTO
Sanya Iyer,2022PE1827,AUTO
Riya Kulkarni,2023PE7278,AUTO
Aarav Verma,2023PE2048,AUTO
Rohan Verma,2022PE6766,AUTO
Sanya Patil,2023PE3077,AUTO
Karan Joshi,2023PE4111,AUTO
Sanya Kulkarni,2022PE9667,AUTO
Kiara Sharma,2023PE6643,AUTO
Kiara Sharma,2023PE2170,AUTO
